time_us,clock,reset_n,enable,sram_0_out,inv1_dout1,inv1_dout2,inv1_dout3,inv1_dout4,inv2_vin1,inv2_vout1,inv2_vin2,inv2_vout2,counter2_value0,counter2_value1,counter2_value2,counter2_value3,counter2_value4,counter2_value5,counter2_value6,counter2_value7,counter1_value4_inv1_din1,counter1_value5_inv1_din2
2.579015909999999873e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199324269999999718e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500324090000000110e-01,5.369782290000000291e-01,7.500648170000000503e-01,5.367835330000000349e-01,-8.187862980000000591e-08,4.199322060000000007e-09,4.199322060000000007e-09,4.199322060000000007e-09,4.199322060000000007e-09,4.199322060000000007e-09,4.199322060000000007e-09,4.199322060000000007e-09,4.293880540000000403e-09,4.293884299999999782e-09
3.080103789999999713e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199317960000000354e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500387059999999995e-01,5.368861870000000147e-01,7.500774110000000272e-01,5.365994779999999631e-01,-2.251416970000000099e-06,4.199317250000000293e-09,4.199317250000000293e-09,4.199317250000000293e-09,4.199317250000000293e-09,4.199317250000000293e-09,4.199317250000000293e-09,4.199317250000000293e-09,4.293889210000000355e-09,4.293887879999999600e-09
3.766494430000000455e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320870000000289e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500473309999999838e-01,5.367370580000000446e-01,7.500946609999999959e-01,5.363012959999999829e-01,3.156605790000000022e-06,4.199319900000000311e-09,4.199319900000000311e-09,4.199319900000000311e-09,4.199319900000000311e-09,4.199319900000000311e-09,4.199319900000000311e-09,4.199319900000000311e-09,4.293884209999999588e-09,4.293885939999999643e-09
4.476322380000000677e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199316509999999892e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500562509999999516e-01,5.365580239999999668e-01,7.501124999999999599e-01,5.359433820000000237e-01,7.052230590000000221e-06,4.199316729999999631e-09,4.199316729999999631e-09,4.199316729999999631e-09,4.199316729999999631e-09,4.199316729999999631e-09,4.199316729999999631e-09,4.199316729999999631e-09,4.293880490000000387e-09,4.293881099999999589e-09
5.836786150000000326e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320989999999996e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500733469999999459e-01,5.361583739999999931e-01,7.501466890000000332e-01,5.351447019999999721e-01,-3.652169070000000023e-05,4.199320849999999786e-09,4.199320849999999786e-09,4.199320849999999786e-09,4.199320849999999786e-09,4.199320849999999786e-09,4.199320849999999786e-09,4.199320849999999786e-09,4.293886320000000095e-09,4.293886310000000257e-09
7.968393080000000378e-03,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199321130000000206e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501001320000000305e-01,5.354229000000000349e-01,7.502002540000000108e-01,5.336761180000000326e-01,1.511980950000000115e-04,4.199320599999999707e-09,4.199320599999999707e-09,4.199320599999999707e-09,4.199320599999999707e-09,4.199320599999999707e-09,4.199320599999999707e-09,4.199320599999999707e-09,4.293886250000000404e-09,4.293887950000000118e-09
1.009999999999999960e-02,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320170000000066e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501269170000000042e-01,5.345945199999999620e-01,7.502538130000000471e-01,5.320241959999999493e-01,3.243164140000000195e+00,4.199319829999999792e-09,4.199319829999999792e-09,4.199319829999999792e-09,4.199319829999999792e-09,4.199319829999999792e-09,4.199319829999999792e-09,4.199319829999999792e-09,4.293884570000000364e-09,4.293883310000000128e-09
1.010999999999999920e-02,2.970000000000000195e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319760000000101e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501270429999999934e-01,5.345904150000000410e-01,7.502540650000000255e-01,5.320160139999999815e-01,3.253748349999999956e+00,4.199325820000000213e-09,4.199325820000000213e-09,4.199325820000000213e-09,4.199325820000000213e-09,4.199325820000000213e-09,4.199325820000000213e-09,4.199325820000000213e-09,4.293890009999999782e-09,4.293881959999999698e-09
1.013000000000000012e-02,2.310000000000000053e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318259999999622e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501272940000000000e-01,5.345822019999999508e-01,7.502545670000000388e-01,5.319996460000000482e-01,3.266974890000000187e+00,4.199327450000000236e-09,4.199327450000000236e-09,4.199327450000000236e-09,4.199327450000000236e-09,4.199327450000000236e-09,4.199327450000000236e-09,4.199327450000000236e-09,4.293886200000000388e-09,4.293882940000000341e-09
1.016500000000000042e-02,1.155000000000000027e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319490000000345e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501277339999999905e-01,5.345678190000000551e-01,7.502554470000000197e-01,5.319709809999999539e-01,3.276829839999999994e+00,4.199315609999999605e-09,4.199315609999999605e-09,4.199315609999999605e-09,4.199315609999999605e-09,4.199315609999999605e-09,4.199315609999999605e-09,4.199315609999999605e-09,4.293882690000000261e-09,4.293885560000000018e-09
